,,,,,,,09/07/2026,RELATÓRIO ATUALIZADO CEARÁ,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,09/07/2026,,,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,09/07/2026 17:02:13,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,MARCA,LOTE,Column 23
2025,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101,120CM,1792025,32112,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2026,OK,MARFIM MINAS,74,130404,,80114,ATAC. 4000MG PARES POLIESTER COR 101,130CM,1792025,43200,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2027,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100,120CM,1792025,6048,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2028,OK,MARFIM MINAS,74,130404,,83038,ATAC. 4000MG PARES POLIESTER COR 100,130CM,1792025,14400,,17/09/2025,28/11/2025,-223,,28/11/25,#N/A,#N/A,#N/A,,,295,,127573,
2086,OK,DAKOTA MARANGUAPE,133,138973,50046056,76103,ELAST. LS 16410 POLIESTER COR 812,7MM,85481D,1300,,26/05/2026,08/06/2026,-31,PRODUÇAO,08/06/2026,#N/A,#N/A,#N/A,50046056,,44,DAKOTA (Todas),134003,
2087,NÃO,DAKOTA MARANGUAPE,133,139481,1822108,94400,ATAC. M22063 7MM POLIESTER COR 4434,120CM,43571U,36,,09/06/2026,17/06/2026,-22,PRODUÇAO,17/06/2026,#N/A,#N/A,#N/A,1822108,,30,DAKOTA (Todas),134245,
1990,OK,DAKOTA RUSSAS,43,139475,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,86161D,3000,,09/06/2026,23/06/2026,-16,PRODUÇAO,23/06/2026,#N/A,#N/A,#N/A,4142643,,30,DAKOTA (Todas),134248,
2029,OK,DAKOTA IGUATU,91,139762,6316865,69743,ATAC. M1294 7MM POLIESTER COR 101,85CM,54364U,848,,16/06/2026,24/06/2026,-15,PRODUÇAO,24/06/2026,#N/A,#N/A,#N/A,6316865,,23,DAKOTA (Todas),134719,
2114,OK,DAKOTA MARANGUAPE,133,139854,1821021,80778,ATAC. M22063 7MM POLIESTER COR 062,120CM,57090U,120,,18/06/2026,25/06/2026,-14,PRODUÇAO,25/06/2026,#N/A,#N/A,#N/A,1821021,,21,DAKOTA (Todas),134861,
2030,NÃO,DAKOTA IGUATU,91,139847,6318743,94818,ATAC. M1294 7MM POLIESTER COR 041,85CM,59910U,30,,18/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,6318743,URDIDEIRA,21,DAKOTA (Todas),134854,
2031,NÃO,DAKOTA IGUATU,91,139847,1843198,94818,ATAC. M1294 7MM POLIESTER COR 041,95CM,59910U,75,,18/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,1843198,URDIDEIRA,21,DAKOTA (Todas),134854,
2088,OK,DAKOTA MARANGUAPE,133,139483,4114050,69627,ELAST. LS 16410 POLIESTER COR 100,7MM,86095D,40000,,09/06/2026,26/06/2026,-13,PRODUÇAO,26/06/26,#N/A,#N/A,#N/A,4114050,,30,DAKOTA (Todas),134243,
2089,OK,DAKOTA MARANGUAPE,133,139483,50141476,83285,ELAST. LS 16410 POLIESTER COR 5388,7MM,86095D,1000,,09/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,50141476,,30,DAKOTA (Todas),134243,
2090,NÃO,DAKOTA MARANGUAPE,133,139483,821303,95050,ELAST. LS 16410 POLIESTER COR 962,7MM,86095D,100,,09/06/2026,26/06/2026,-13,,26/06/2026,#N/A,#N/A,#N/A,821303,MONTAR,30,DAKOTA (Todas),134243,
2091,OK,DAKOTA MARANGUAPE,133,139483,1821147,80825,ATAC. M22063 7MM POLIESTER COR 101,120CM,86095D,1424,,09/06/2026,26/06/2026,-13,PRODUÇAO,26/06/2026,#N/A,#N/A,#N/A,1821147,,30,DAKOTA (Todas),134243,
2092,OK,DAKOTA MARANGUAPE,133,139484,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,86099D,1500,,09/06/2026,26/06/2026,-13,PRODUÇAO,26/06/2026,#N/A,#N/A,#N/A,4142643,,30,DAKOTA (Todas),134242,
2093,OK,DAKOTA MARANGUAPE,133,139484,50046056,76103,ELAST. LS 16410 POLIESTER COR 812,7MM,86099D,3000,,09/06/2026,26/06/2026,-13,FALTA DE FIO,26/06/2026,#N/A,#N/A,#N/A,50046056,,30,DAKOTA (Todas),134242,
2094,NÃO,DAKOTA MARANGUAPE,133,139486,50132299,71855,FITA MFGP POLIESTER COR 072,15MM,86110D,200,,09/06/2026,26/06/2026,-13,,26/06/26,#N/A,#N/A,#N/A,50132299,MONTAR,30,DAKOTA (Todas),134240,
2095,OK,DAKOTA MARANGUAPE,133,139765,4116876,70420,ELAST. LS 16410 POLIESTER COR 290,7MM,86676D,800,,16/06/2026,29/06/2026,-10,,29/06/26,#N/A,#N/A,#N/A,4116876,URDIDEIRA,23,DAKOTA (Todas),134727,
2096,NÃO,DAKOTA MARANGUAPE,133,139765,50063913,73619,ELAST. LS 16410 POLIESTER COR 005,7MM,86676D,200,,16/06/2026,29/06/2026,-10,PRODUÇAO,29/06/26,#N/A,#N/A,#N/A,50063913,,23,DAKOTA (Todas),134727,
2097,OK,DAKOTA MARANGUAPE,133,139765,4141897,77081,ELAST. LS 16410 POLIESTER COR 321,7MM,86676D,200,,16/06/2026,29/06/2026,-10,,29/06/26,#N/A,#N/A,#N/A,4141897,URDIDEIRA,23,DAKOTA (Todas),134727,
2098,OK,DAKOTA MARANGUAPE,133,139765,4117542,78236,ELAST. LS 16410 POLIESTER COR 182,7MM,86676D,800,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,4117542,URDIDEIRA,23,DAKOTA (Todas),134727,
2099,OK,DAKOTA MARANGUAPE,133,139765,50141476,83285,ELAST. LS 16410 POLIESTER COR 5388,7MM,86676D,2000,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,50141476,MONTAR,23,DAKOTA (Todas),134727,
2100,OK,DAKOTA MARANGUAPE,133,139765,50048514,90400,ELAST. LS 16410 POLIESTER COR 010,7MM,86676D,2000,,16/06/2026,29/06/2026,-10,,29/06/26,#N/A,#N/A,#N/A,50048514,URDIDEIRA,23,DAKOTA (Todas),134727,
2101,OK,DAKOTA MARANGUAPE,133,139766,1237409,69564,FITA MFGP POLIESTER COR 100,10MM,86683D,300,,16/06/2026,29/06/2026,-10,PRODUÇAO,29/06/2026,#N/A,#N/A,1237409,50028174,,23,DAKOTA (Todas),134728,
2102,OK,DAKOTA MARANGUAPE,133,139766,1168867,69564,FITA MFGP POLIESTER COR 100,15MM,86683D,2000,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,1168867,50025128,MONTAR,23,DAKOTA (Todas),134728,
2103,NÃO,DAKOTA MARANGUAPE,133,139766,50028030,75382,FITA MFGP POLIESTER COR 226,15MM,86683D,50,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,50028030,MONTAR,23,DAKOTA (Todas),134728,
2104,OK,DAKOTA MARANGUAPE,133,139766,50133474,84029,FITA MFGP POLIESTER COR 4510,15MM,86683D,500,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,50133474,MONTAR,23,DAKOTA (Todas),134728,
2105,OK,DAKOTA MARANGUAPE,133,139766,50133723,84895,FITA MFGP POLIESTER COR 382,10MM,86683D,300,,16/06/2026,29/06/2026,-10,PRODUÇAO,29/06/2026,#N/A,#N/A,#N/A,50133723,,23,DAKOTA (Todas),134728,
2106,NÃO,DAKOTA MARANGUAPE,133,139766,50133045,88205,FITA MFGP POLIESTER COR 5388,15MM,86683D,700,,16/06/2026,29/06/2026,-10,PRODUÇAO,29/06/2026,#N/A,#N/A,#N/A,50133045,,23,DAKOTA (Todas),134728,
2107,OK,DAKOTA MARANGUAPE,133,139766,50133492,88906,FITA MFGP POLIESTER COR 881,10MM,86683D,50,,16/06/2026,29/06/2026,-10,,29/06/2026,#N/A,#N/A,#N/A,50133492,MONTAR,23,DAKOTA (Todas),134728,
2115,OK,DAKOTA MARANGUAPE,133,139895,1821021,80778,ATAC. M22063 7MM POLIESTER COR 062,120CM,62620U,15,,19/06/2026,29/06/2026,-10,PRODUÇAO,29/06/2026,#N/A,#N/A,#N/A,1821021,,20,DAKOTA (Todas),135241,
1991,OK,DAKOTA RUSSAS,43,139758,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,86522D,4000,,16/06/2026,30/06/2026,-9,,30/06/2026,#N/A,#N/A,#N/A,4142643,,23,DAKOTA (Todas),134715,
1992,NÃO,DAKOTA RUSSAS,43,139758,50063913,73619,ELAST. LS 16410 POLIESTER COR 005,7MM,86522D,400,,16/06/2026,30/06/2026,-9,PRODUÇAO,30/06/2026,#N/A,#N/A,#N/A,50063913,,23,DAKOTA (Todas),134715,
1993,OK,DAKOTA RUSSAS,43,139759,4119564,85692,ELAST. LS 16410 POLIESTER COR 115,7MM,86545D,1000,,16/06/2026,30/06/2026,-9,PRODUÇAO,30/06/2026,#N/A,#N/A,#N/A,4119564,,23,DAKOTA (Todas),134716,
1988,NÃO,DAKOTA RUSSAS,43,139355,50063913,73619,ELAST. LS 16410 POLIESTER COR 005,7MM,85825D,150,,03/06/2026,02/07/2026,-7,PRODUÇAO,02/07/2026,#N/A,#N/A,#N/A,50063913,,36,DAKOTA (Todas),134154,
1989,NÃO,DAKOTA RUSSAS,43,139355,821303,95050,ELAST. LS 16410 POLIESTER COR 962,7MM,85825D,50,,03/06/2026,02/07/2026,-7,,02/07/26,#N/A,#N/A,#N/A,821303,MONTAR,36,DAKOTA (Todas),134154,
1015,OK,DASS ITAPIPOCA,2,139888,1417971,95083,FITA MFGP C/ GOMA POLIESTER COR 6184,10MM,15840292,40,809892,19/06/2026,03/07/2026,-6,,03/07/26,#N/A,#N/A,#N/A,1417971,,20,NEW BALANCE,134830,
1016,OK,DASS ITAPIPOCA,2,139891,1416424,94281,FITA  M31130 POLIMP MEADA COR 6116,15MM,15848270,100,810464,19/06/2026,03/07/2026,-6,PRODUÇAO,03/07/26,#N/A,#N/A,#N/A,1416424,,20,NEW BALANCE,134832,
99,OK,DASS ITAPIPOCA,2,138878,1417896,93837,FITA M31140 POLIESTER COR 278 / COR 101,10MM,15741520,2870,0,25/05/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,1417896,,45,NEW BALANCE,134014,
132,OK,DASS ITAPIPOCA,2,138881,1430151,76062,FITA MFGP POLIESTER COR 938,10MM,15746251,120,0,25/05/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,1430151,,45,NEW BALANCE,134011,
133,OK,DASS ITAPIPOCA,2,138881,1430379,94470,FITA MFGP POLIESTER COR 4041,10MM,15746251,80,0,25/05/2026,06/07/2026,-3,PRODUÇAO,06/07/26,#N/A,#N/A,#N/A,1430379,,45,NEW BALANCE,134011,
156,OK,DASS ITAPIPOCA,2,138979,1429999,94489,ATAC. M13758 POLIESTER COR 4550,120CM,15746256,396,15730686NEWB003800,26/05/2026,06/07/2026,-3,PRODUÇAO,06/07/26,#N/A,#N/A,#N/A,1429999,,44,NEW BALANCE,133999,
2032,NÃO,DAKOTA IGUATU,91,139949,1843198,94818,ATAC. M1294 7MM POLIESTER COR 041,95CM,66659U,14,,22/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,1843198,URDIDEIRA,17,DAKOTA (Todas),134856,
2033,OK,DAKOTA IGUATU,91,140034,6316865,69743,ATAC. M1294 7MM POLIESTER COR 101,85CM,68480U,220,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,6316865,URDIDEIRA,15,DAKOTA (Todas),134858,
2037,OK,DAKOTA IGUATU,91,140142,6314512,69771,ATAC. M1294 7MM POLIESTER COR 102,85CM,71907U,150,,25/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,6314512,,14,DAKOTA (Todas),134925,
2038,OK,DAKOTA IGUATU,91,140142,9205752,69771,ATAC. M1294 7MM POLIESTER COR 102,95CM,71907U,450,,25/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,9205752,,14,DAKOTA (Todas),134925,
2116,OK,DAKOTA MARANGUAPE,133,140037,4116876,70420,ELAST. LS 16410 POLIESTER COR 290,7MM,86977D,1000,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,4116876,,15,DAKOTA (Todas),134868,
2117,OK,DAKOTA MARANGUAPE,133,140037,50063404,93627,ELAST. LS 16410 POLIESTER COR 4205,7MM,86977D,200,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50063404,,15,DAKOTA (Todas),134868,
2118,OK,DAKOTA MARANGUAPE,133,140038,4114050,69627,ELAST. LS 16410 POLIESTER COR 100,7MM,86979D,50000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,4114050,,15,DAKOTA (Todas),134869,
2119,NÃO,DAKOTA MARANGUAPE,133,140038,4114952,70969,ELAST. LS 16410 POLIESTER COR 114,7MM,86979D,22800,,24/06/2026,06/07/2026,-3,PRODUÇAO,06/07/2026,#N/A,#N/A,#N/A,4114952,,15,DAKOTA (Todas),134869,
2120,OK,DAKOTA MARANGUAPE,133,140038,4141708,73108,ELAST. LS 16410 POLIESTER COR 052,7MM,86979D,5300,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,4141708,,15,DAKOTA (Todas),134869,
2121,OK,DAKOTA MARANGUAPE,133,140038,4141897,77081,ELAST. LS 16410 POLIESTER COR 321,7MM,86979D,500,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,4141897,,15,DAKOTA (Todas),134869,
2122,OK,DAKOTA MARANGUAPE,133,140038,50143336,84833,ELAST. LS 16410 POLIESTER COR 4048,7MM,86979D,1000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50143336,,15,DAKOTA (Todas),134869,
2123,OK,DAKOTA MARANGUAPE,133,140038,50146542,90192,ELAST. LS 16410 POLIESTER COR 4422,7MM,86979D,2500,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50146542,,15,DAKOTA (Todas),134869,
2124,OK,DAKOTA MARANGUAPE,133,140039,50046056,76103,ELAST. LS 16410 POLIESTER COR 812,7MM,86982D,16000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50046056,,15,DAKOTA (Todas),134870,
2125,OK,DAKOTA MARANGUAPE,133,140039,50141476,83285,ELAST. LS 16410 POLIESTER COR 5388,7MM,86982D,8000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50141476,,15,DAKOTA (Todas),134870,
2126,OK,DAKOTA MARANGUAPE,133,140039,50148742,92852,ELAST. LS 16410 POLIESTER COR 749,7MM,86982D,50,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50148742,,15,DAKOTA (Todas),134870,
2127,OK,DAKOTA MARANGUAPE,133,140040,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,86984D,60000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,4142643,,15,DAKOTA (Todas),134871,
2128,OK,DAKOTA MARANGUAPE,133,140041,1237409,69564,FITA MFGP POLIESTER COR 100,10MM,86991D,1000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,1237409,50028174,,15,DAKOTA (Todas),134872,
2129,OK,DAKOTA MARANGUAPE,133,140041,1168867,69564,FITA MFGP POLIESTER COR 100,15MM,86991D,3000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,1168867,50025128,,15,DAKOTA (Todas),134872,
2130,OK,DAKOTA MARANGUAPE,133,140041,50028049,76993,FITA MFGP POLIESTER COR 290,15MM,86991D,150,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50028049,,15,DAKOTA (Todas),134872,
2131,NÃO,DAKOTA MARANGUAPE,133,140042,50133652,87442,FITA MFGP POLIESTER COR 5492,10MM,86992D,400,,24/06/2026,06/07/2026,-3,PRODUÇAO,06/07/2026,#N/A,#N/A,#N/A,50133652,,15,DAKOTA (Todas),134873,
2132,NÃO,DAKOTA MARANGUAPE,133,140042,50134257,88310,FITA MFGP POLIESTER COR 010,10MM,86992D,300,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50134257,,15,DAKOTA (Todas),134873,
2133,OK,DAKOTA MARANGUAPE,133,140042,50133492,88906,FITA MFGP POLIESTER COR 881,10MM,86992D,200,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50133492,,15,DAKOTA (Todas),134873,
2134,NÃO,DAKOTA MARANGUAPE,133,140043,50132299,71855,FITA MFGP POLIESTER COR 072,15MM,86993D,200,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,50132299,,15,DAKOTA (Todas),134874,
2135,OK,DAKOTA MARANGUAPE,133,140043,50131354,74385,FITA MFGP POLIESTER COR 4077,15MM,86993D,400,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,50131354,50131354,,15,DAKOTA (Todas),134874,
2136,NÃO,DAKOTA MARANGUAPE,133,140043,50131774,82025,FITA MFGP POLIESTER COR 561,15MM,86993D,100,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,50131774,,15,DAKOTA (Todas),134874,
2137,OK,DAKOTA MARANGUAPE,133,140043,50132824,87442,FITA MFGP POLIESTER COR 5492,15MM,86993D,100,,24/06/2026,06/07/2026,-3,PRODUÇAO,06/07/26,#N/A,#N/A,#N/A,50132824,,15,DAKOTA (Todas),134874,
2138,NÃO,DAKOTA MARANGUAPE,133,140043,50133045,88205,FITA MFGP POLIESTER COR 5388,15MM,86993D,800,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,50133045,,15,DAKOTA (Todas),134874,
2139,OK,DAKOTA MARANGUAPE,133,140043,50133143,88310,FITA MFGP POLIESTER COR 010,15MM,86993D,200,,24/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,50133143,,15,DAKOTA (Todas),134874,
2140,OK,DAKOTA MARANGUAPE,133,140043,50133161,88474,FITA MFGP POLIESTER COR 4229,15MM,86993D,100,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50133161,,15,DAKOTA (Todas),134874,
2141,NÃO,DAKOTA MARANGUAPE,133,140043,50131630,76487,FITA MFGP POLIESTER COR 4243,15MM,86993D,150,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50131630,URDIDEIRA,15,DAKOTA (Todas),134874,
2142,OK,DAKOTA MARANGUAPE,133,140044,6455349,80774,ATAC. M22063 7MM POLIESTER COR 100,100CM,87023D,940,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,6455349,,15,DAKOTA (Todas),134875,
2143,OK,DAKOTA MARANGUAPE,133,140044,6455465,82010,ATAC. M22063 7MM POLIESTER COR 4220,100CM,87023D,100,,24/06/2026,06/07/2026,-3,PRODUÇAO,06/07/2026,#N/A,#N/A,#N/A,6455465,,15,DAKOTA (Todas),134875,
2144,OK,DAKOTA MARANGUAPE,133,140044,6457969,90141,ATAC. M22063 7MM POLIESTER COR 5492,100CM,87023D,176,,24/06/2026,06/07/2026,-3,PRODUÇAO,06/07/2026,#N/A,#N/A,#N/A,6457969,,15,DAKOTA (Todas),134875,
2145,OK,DAKOTA MARANGUAPE,133,140045,27706789,80774,ATAC. M22063 7MM POLIESTER COR 100,110CM,87029D,6000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,27706789,,15,DAKOTA (Todas),134876,
2146,OK,DAKOTA MARANGUAPE,133,140045,27706805,80824,ATAC. M22063 7MM POLIESTER COR 812,110CM,87029D,2200,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,27706805,,15,DAKOTA (Todas),134876,
2147,OK,DAKOTA MARANGUAPE,133,140045,1821129,87571,ATAC. M22063 7MM POLIESTER COR 072,120CM,87029D,100,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,1821129,,15,DAKOTA (Todas),134876,
2148,NÃO,DAKOTA MARANGUAPE,133,140045,27707704,87571,ATAC. M22063 7MM POLIESTER COR 072,110CM,87029D,800,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,27707704,,15,DAKOTA (Todas),134876,
2149,OK,DAKOTA MARANGUAPE,133,140045,27708470,90141,ATAC. M22063 7MM POLIESTER COR 5492,110CM,87029D,1200,,24/06/2026,06/07/2026,-3,PRODUÇAO,06/07/2026,#N/A,#N/A,#N/A,27708470,,15,DAKOTA (Todas),134876,
2150,OK,DAKOTA MARANGUAPE,133,140046,6186698,80774,ATAC. M22063 7MM POLIESTER COR 100,80CM,87032D,600,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,6186698,,15,DAKOTA (Todas),134877,
2151,OK,DAKOTA MARANGUAPE,133,140046,27991966,80774,ATAC. M22063 7MM POLIESTER COR 100,90CM,87032D,300,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,27991966,,15,DAKOTA (Todas),134877,
2152,NÃO,DAKOTA MARANGUAPE,133,140046,6186849,89568,ATAC. M22063 7MM POLIESTER COR 4229,80CM,87032D,28,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,6186849,,15,DAKOTA (Todas),134877,
2153,OK,DAKOTA MARANGUAPE,133,140047,50143514,85072,ELAST. LS 16410 POLIESTER COR 5492,7MM,87035D,12000,,24/06/2026,06/07/2026,-3,PRODUÇAO,06/07/2026,#N/A,#N/A,#N/A,50143514,,15,DAKOTA (Todas),134878,
2154,OK,DAKOTA MARANGUAPE,133,140047,50144879,88124,ELAST. LS 16410 POLIESTER COR 4144,7MM,87035D,150,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50144879,,15,DAKOTA (Todas),134878,
2155,OK,DAKOTA MARANGUAPE,133,140047,50048514,90400,ELAST. LS 16410 POLIESTER COR 010,7MM,87035D,2000,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,50048514,,15,DAKOTA (Todas),134878,
2156,NÃO,DAKOTA MARANGUAPE,133,140047,821303,95050,ELAST. LS 16410 POLIESTER COR 962,7MM,87035D,200,,24/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,821303,MONTAR,15,DAKOTA (Todas),134878,
2157,OK,DAKOTA MARANGUAPE,133,140141,1822091,90141,ATAC. M22063 7MM POLIESTER COR 5492,120CM,71884U,3,,25/06/2026,06/07/2026,-3,PRODUÇAO,06/07/2026,#N/A,#N/A,#N/A,1822091,,14,DAKOTA (Todas),134926,
2158,OK,DAKOTA MARANGUAPE,133,140183,6456275,84248,ATAC. M22063 7MM POLIESTER COR 214,100CM,73421U,88,,26/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,6456275,URDIDEIRA,13,DAKOTA (Todas),135242,
2159,OK,DAKOTA MARANGUAPE,133,140184,1821147,80825,ATAC. M22063 7MM POLIESTER COR 101,120CM,73451U,90,,26/06/2026,06/07/2026,-3,,06/07/2026,#N/A,#N/A,#N/A,1821147,,13,DAKOTA (Todas),135298,
2160,OK,DAKOTA MARANGUAPE,133,140185,1821129,87571,ATAC. M22063 7MM POLIESTER COR 072,120CM,73470U,72,,26/06/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,#N/A,1821129,,13,DAKOTA (Todas),135299,
2188,OK,DAKOTA MARANGUAPE,133,140551,1258181,69776,FITA MFGP POLIESTER COR 101,15MM,87333D,40,,06/07/2026,06/07/2026,-3,,06/07/26,#N/A,#N/A,1258181,-50052009,,3,,135332,
2034,OK,DAKOTA IGUATU,91,140140,4142643,70217,ELAST. LS 16410 POLIESTER COR 101,7MM,87144D,2000,,25/06/2026,07/07/2026,-2,,07/07/26,#N/A,#N/A,#N/A,4142643,,14,DAKOTA (Todas),134927,
2035,OK,DAKOTA IGUATU,91,140140,4147077,72689,ELAST. LS 16410 POLIESTER COR 053,7MM,87144D,100,,25/06/2026,07/07/2026,-2,,07/07/26,#N/A,#N/A,#N/A,4147077,,14,DAKOTA (Todas),134927,
2036,OK,DAKOTA IGUATU,91,140140,50046038,73174,ELAST. LS 16410 POLIESTER COR 801,7MM,87144D,200,,25/06/2026,07/07/2026,-2,,07/07/26,#N/A,#N/A,#N/A,50046038,,14,DAKOTA (Todas),134927,
2039,NÃO,DAKOTA IGUATU,91,140324,6319008,95946,ATAC. M1294 7MM POLIESTER COR 4099,85CM,74429U,6,,30/06/2026,07/07/2026,-2,,07/07/26,#N/A,#N/A,#N/A,6319008,,9,DAKOTA (Todas),135153,
2040,NÃO,DAKOTA IGUATU,91,140324,1843661,95946,ATAC. M1294 7MM POLIESTER COR 4099,95CM,74429U,9,,30/06/2026,07/07/2026,-2,,07/07/2026,#N/A,#N/A,#N/A,1843661,,9,DAKOTA (Todas),135153,
2205,OK,ANIGER FILIAL 02,146,138529,29079100048,89430,ATAC. MR140019 6MM RECICLADO COR 5709,100CM,20116543,4990,,14/05/2026,07/07/2026,-2,PRODUÇAO,07/07/2026,#N/A,#N/A,#N/A,29079100048,,56,NIKE (Aniger),134572,
2206,OK,ANIGER FILIAL 02,146,138529,29443336527,94666,ATAC. MR140019 6MM RECICLADO COR 6132,95CM,20116543,1104,,14/05/2026,07/07/2026,-2,PRODUÇAO,07/07/2026,#N/A,#N/A,#N/A,29443336527,,56,NIKE (Aniger),134572,
2207,OK,ANIGER FILIAL 02,146,138529,29079136527,94666,ATAC. MR140019 6MM RECICLADO COR 6132,100CM,20116543,542,,14/05/2026,07/07/2026,-2,PRODUÇAO,07/07/2026,#N/A,#N/A,#N/A,29079136527,,56,NIKE (Aniger),134572,
2214,OK,ANIGER FILIAL 02,146,139364,29079127178,94629,ATAC. MR140019 6MM RECICLADO COR 6070/PET,100CM,20117142,30,,03/06/2026,07/07/2026,-2,PRODUÇAO,07/07/2026,#N/A,#N/A,#N/A,29079127178,,36,NIKE (Aniger),134731,
2215,OK,ANIGER FILIAL 02,146,139364,29079136527,94666,ATAC. MR140019 6MM RECICLADO COR 6132,100CM,20117142,30,,03/06/2026,07/07/2026,-2,,07/07/2026,#N/A,#N/A,#N/A,29079136527,,36,NIKE (Aniger),134731,
