,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
950,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,480,15402252ADS000004-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/26,,#N/A,1410855,,31,
951,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,491,15402517ITA11194-A,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/26,09/04/26,,#N/A,1410855,,31,
952,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,115CM,15403551,510,15402520ITA11194-B,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/26,,#N/A,1410855,,31,
953,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,50,15402228ADS000001-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/26,,#N/A,1410855,,31,
954,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,40,15402231ADS000001-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
955,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,50,15402234ADS000001-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
956,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,50,15402237ADS000002-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
957,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,40,15402240ADS000002-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
958,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,50,15402243ADS000002-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
959,OK,DASS ITAPIPOCA,2,136139,1410855,93894,ATAC. M12183 6MM REFLEX COR 4874,125CM,15403551,50,15402246ADS000004-,10/03/2026,09/04/2026,-1,PRODUÇAO,23/03/2026,09/04/2026,,#N/A,1410855,,31,
