,,,,,,,09/04/2026,DESATUALIZADO,,,,,EM VERDE DATA APROVADA CLIENTE,EM LARANJA DATA NÃO APROVADA CLIENTE,10/04/2026,,,,,,,,
,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,,,10/04/2026 07:05:29,,DÚVIDA CLICA AQUI,,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Column 24,CARTELA,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,CÓD. OS ,DATA RECEB.,DT. ENTREGA,PRAZO,SITUAÇÃO DE ITENS,DATA SISTEMA,DATAS REPROGRAMADAS,APROVAÇÃO DO CLIENTE,CÓD. ALTERADO,CÓD. DO SISTEMA,POSIÇÃO NA PRODUÇÃO,PEDIDO NA EMPRESA EM DIAS,Column 23
57,OK,DASS ITAPIPOCA,2,134565,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,120CM,15252374,297,15242814ADL000331-,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,71,
58,OK,DASS ITAPIPOCA,2,134565,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252374,218,15242808ADL000331-,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,71,
59,OK,DASS ITAPIPOCA,2,134565,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252374,170,15242811ADL000331-,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,71,
60,OK,DASS ITAPIPOCA,2,134565,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15252374,126,15242814ADL000331-,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,71,
61,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,155,15240605ITA10991-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
62,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240608ITA10991-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
63,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240611ITA10991-C,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
64,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240614ITA10991-D,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
65,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240617ITA10991-E,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
66,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240621ITA10991-F,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
67,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240624ITA10991-G,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
68,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,129,15240628ITA10991-H,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
69,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,154,15240631ITA10994-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
70,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240634ITA10994-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
71,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240637ITA10994-C,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
72,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,140CM,15252374,140,15240640ITA10994-D,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
73,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,411,15240605ITA10991-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
74,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240608ITA10991-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
75,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240611ITA10991-C,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
76,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240614ITA10991-D,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
77,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240617ITA10991-E,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
78,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240621ITA10991-F,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
79,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240624ITA10991-G,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
80,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,481,15240628ITA10991-H,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
81,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,150,15240561ITA10992-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
82,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,150,15240564ITA10992-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
83,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,150,15240567ITA10992-C,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
84,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,150,15240570ITA10992-D,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
85,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,150,15240573ITA10992-E,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
86,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,130,15240576ITA10992-F,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
87,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,155,15240579ITA10992-G,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
88,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,411,15240631ITA10994-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
89,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240634ITA10994-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
90,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240637ITA10994-C,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
91,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,145CM,15252374,410,15240640ITA10994-D,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
92,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,10,15240605ITA10991-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
93,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,15,15240608ITA10991-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
94,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,400,15240561ITA10992-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
95,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,370,15240564ITA10992-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
96,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,370,15240567ITA10992-C,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
97,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,370,15240570ITA10992-D,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
98,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,370,15240573ITA10992-E,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
99,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,350,15240576ITA10992-F,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
100,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,357,15240579ITA10992-G,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
101,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,10,15240631ITA10994-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
102,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,150CM,15252374,15,15240634ITA10994-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
103,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,155CM,15252374,30,15240561ITA10992-A,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
104,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,155CM,15252374,30,15240564ITA10992-B,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
105,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,155CM,15252374,30,15240567ITA10992-C,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
106,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,155CM,15252374,30,15240570ITA10992-D,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
107,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,155CM,15252374,30,15240573ITA10992-E,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
108,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,155CM,15252374,29,15240576ITA10992-F,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
109,OK,DASS ITAPIPOCA,2,134565,841052,81781,ATAC. M12109 8MM POLIESTER COR 481,155CM,15252374,15,15240579ITA10992-G,29/01/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,841052,CORTE/PONTEIRA,71,
180,OK,DASS ITAPIPOCA,2,134761,1380685,94099,ATAC. M60126 6MM ALPINA COR 2427,115CM,15256205,10,15242842ADL000334-,02/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380685,,67,
181,OK,DASS ITAPIPOCA,2,134761,1380685,94099,ATAC. M60126 6MM ALPINA COR 2427,120CM,15256205,301,15242842ADL000334-,02/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380685,,67,
182,OK,DASS ITAPIPOCA,2,134761,1380685,94099,ATAC. M60126 6MM ALPINA COR 2427,120CM,15256205,334,15242846ADL000334-,02/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380685,,67,
183,OK,DASS ITAPIPOCA,2,134761,1380685,94099,ATAC. M60126 6MM ALPINA COR 2427,125CM,15256205,207,15242842ADL000334-,02/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380685,,67,
184,OK,DASS ITAPIPOCA,2,134761,1380685,94099,ATAC. M60126 6MM ALPINA COR 2427,125CM,15256205,220,15242846ADL000334-,02/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380685,,67,
208,OK,DASS ITAPIPOCA,2,134873,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15265919,10,15258570ADL000356-,04/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380688,,65,
209,OK,DASS ITAPIPOCA,2,134873,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,115CM,15265919,17,15258573ADL000356-,04/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380688,,65,
210,OK,DASS ITAPIPOCA,2,134873,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15265919,321,15258570ADL000356-,04/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380688,,65,
211,OK,DASS ITAPIPOCA,2,134873,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,120CM,15265919,357,15258573ADL000356-,04/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380688,,65,
212,OK,DASS ITAPIPOCA,2,134873,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15265919,136,15258570ADL000356-,04/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380688,,65,
213,OK,DASS ITAPIPOCA,2,134873,1380688,94125,ATAC. M60126 6MM ALPINA COR 2454,125CM,15265919,126,15258573ADL000356-,04/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380688,,65,
224,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,125CM,15303368,12,15302217ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
225,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15303368,110,15302217ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
226,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15303368,100,15302221ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
227,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,130CM,15303368,129,15302224ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
228,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15303368,291,15302217ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
229,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15303368,270,15302221ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
230,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,135CM,15303368,301,15302224ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
231,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15303368,62,15302217ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
232,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15303368,56,15302221ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
233,OK,DASS ITAPIPOCA,2,135093,1380683,92678,ATAC. M60126 6MM ALPINA COR 2001,140CM,15303368,40,15302224ADL000358-,11/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1380683,,58,
374,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,125CM,15330141,12,15324409ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
375,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330141,140,15324409ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
376,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330141,130,15324411ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
377,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,130CM,15330141,154,15324413ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
378,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330141,301,15324409ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
379,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330141,290,15324411ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
380,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,135CM,15330141,327,15324413ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
381,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330141,111,15324409ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
382,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330141,60,15324411ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
383,OK,DASS ITAPIPOCA,2,135569,1420003,94270,ATAC. M60126 6MM ALPINA COR 2468,140CM,15330141,18,15324413ADL000378-,24/02/2026,13/04/2026,3,,13/04/26,#N/A,#N/A,#N/A,1420003,,45,
427,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,132,15364865ITA11181-A,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
428,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,110,15364869ITA11181-B,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
429,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,110,15364872ITA11181-C,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
430,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,100,15364875ITA11181-D,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
431,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,100,15364879ITA11181-E,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
432,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,112,15364849ITA11228-A,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
433,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,100,15364852ITA11228-B,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
434,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,100,15364855ITA11228-C,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
435,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,100,15364858ITA11228-D,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
436,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,125CM,15368451,113,15364862ITA11228-E,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
437,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,391,15364865ITA11181-A,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
438,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,390,15364869ITA11181-B,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
439,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,390,15364872ITA11181-C,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
440,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,380,15364875ITA11181-D,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
441,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,414,15364879ITA11181-E,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
442,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,361,15364849ITA11228-A,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
443,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,360,15364852ITA11228-B,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
444,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,360,15364855ITA11228-C,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
445,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,340,15364858ITA11228-D,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
446,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,135CM,15368451,402,15364862ITA11228-E,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
447,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368451,50,15364865ITA11181-A,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
448,OK,DASS ITAPIPOCA,2,135786,1215467,73237,ATAC. M6034 8MM ALPINA COR 2001,140CM,15368451,50,15364869ITA11181-B,02/03/2026,13/04/2026,3,EMBARQUE EM ATRASO,30/03/26,13/04/26,,#N/A,1215467,,39,
